,Tweets,id,lens,date,place,coordinateS,lang,source,likes,retweets
39,b'RT @berkey_vicky: @BombshellDAILY So how can a person who commits a felony go to court and say yeah but ..? WTF? #rape #Texas',1.39074E+18,125,07-05-2021 18:49,,,en,Twitter for Android,0,2
40,"b'#MeganRondini lawsuit can proceed, state supreme court rules: Former #Alabama student died in suicide after alleged #rape - https://t.co/kLlhSJ7xdu - CarolRobinson @UofAlabama @IngrahamAngle @TuckerCarlson @GovMikeHuckabee @MailOnline #RollTide @wsfa12news https://t.co/riQY5yS6iw'",1.39074E+18,280,07-05-2021 18:47,,,en,Twitter for iPad,0,0
41,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1.39074E+18,140,07-05-2021 18:45,,,en,Twitter Web App,0,10365
42,b'RT @News18Odia: \xe0\xac\xaa\xe0\xac\xbf\xe0\xac\xa4\xe0\xac\xbe\xe0\xac\xae\xe0\xac\xbe\xe0\xac\xa4\xe0\xac\xbe\xe0\xac\x99\xe0\xad\x8d\xe0\xac\x95 \xe0\xac\xae\xe0\xad\x83\xe0\xac\xa4\xe0\xad\x8d\xe0\xad\x9f\xe0\xad\x81 \xe0\xac\xaa\xe0\xac\xb0\xe0\xad\x87 \xe0\xac\xad\xe0\xac\xbe\xe0\xac\x87 \xe0\xac\x93 \xe0\xac\xad\xe0\xac\xbe\xe0\xac\x89\xe0\xac\x9c\xe0\xac\x99\xe0\xad\x8d\xe0\xac\x95 \xe0\xac\xa8\xe0\xac\xbf\xe0\xac\xb0\xe0\xad\x8d\xe0\xac\xaf\xe0\xad\x8d\xe0\xad\x9f\xe0\xac\xbe\xe0\xac\xa4\xe0\xac\xa8\xe0\xac\xbe \xe0\xac\xb8\xe0\xac\xb9\xe0\xac\xbf \xe0\xac\xa8 \xe0\xac\xaa\xe0\xac\xbe\xe0\xac\xb0\xe0\xac\xbf \xe0\xac\x98\xe0\xac\xb0 \xe0\xac\x9b\xe0\xac\xbe\xe0\xac\xa1\xe0\xac\xbc\xe0\xac\xbf \xe0\xac\xaa\xe0\xac\xb3\xe0\xac\xbe\xe0\xac\x87 \xe0\xac\x86\xe0\xac\xb8\xe0\xac\xbf\xe0\xac\xa5\xe0\xac\xbf\xe0\xac\xac\xe0\xac\xbe \xe0\xad\xa8\xe0\xad\xa6-\xe0\xac\xac\xe0\xac\xb0\xe0\xad\x8d\xe0\xac\xb7\xe0\xad\x80\xe0\xad\x9f\xe0\xac\xbe \xe0\xac\xaf\xe0\xad\x81\xe0\xac\xac\xe0\xac\xa4\xe0\xad\x80\xe0\xac\x95\xe0\xad\x81 \xe0\xac\x9d\xe0\xac\xbe\xe0\xac\xb0\xe0\xac\xb8\xe0\xad\x81\xe0\xac\x97\xe0\xad\x81\xe0\xac\xa1\xe0\xac\xbc\xe0\xac\xbe \xe0\xac\xb0\xe0\xad\x87\xe0\xac\xb3 \xe0\xac\xb7\xe0\xad\x8d\xe0\xac\x9f\xe0\xad\x87\xe0\xac\xb8\xe0\xac\xa8\xe2\x80\xa6',1.39074E+18,139,07-05-2021 18:43,,,or,Twitter for Android,0,3
43,b'End sexual violence #rape &amp; #toxic rape culture in #Nigeria \nFull video: https://t.co/LuQlVJknrp \n#JusticeForHinyUmoren \xf0\x9f\x92\x94 https://t.co/Q7L8sJKKb5',1.39074E+18,149,07-05-2021 18:42,,,en,Twitter Web App,1,0
44,"b'RT @MsDarcyFarrow: @AmyBrenneman Hello Amy, you\xe2\x80\x99ll not remember my name but you read my comment RE #rape #abortion on your #Instagram live\xe2\x80\xa6'",1.39074E+18,139,07-05-2021 18:32,,,en,Twitter for iPhone,0,1
45,"b'RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN\nIdaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl\xe2\x80\xa6'",1.39074E+18,144,07-05-2021 18:31,,,en,Twitter for iPad,0,192
46,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1.39074E+18,140,07-05-2021 18:30,,,en,Twitter Web App,0,10365
47,"b'RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN\nIdaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl\xe2\x80\xa6'",1.39074E+18,144,07-05-2021 18:29,,,en,Twitter Web App,0,192
48,"b'RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN\nIdaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl\xe2\x80\xa6'",1.39073E+18,144,07-05-2021 18:25,,,en,Twitter for iPhone,0,192
49,b'RT @struggle4_truth: @smittal_ips @AnandVasishtha Sir we as True Indian at Heart raise #CAASupport\n\nU too plz Raise Support to....\n#MensCom\xe2\x80\xa6',1.39073E+18,140,07-05-2021 18:23,,,en,Twitter for Android,0,56
50,"b'RT @Elelta5: Many #rape victims of #Tigray have contracted sexually transmitted diseases, including #HIV., doctors say. Demand for #abortio\xe2\x80\xa6'",1.39073E+18,140,07-05-2021 18:22,,,en,Twitter for iPhone,0,2
51,"b'RT @Elelta5: Many #rape victims of #Tigray have contracted sexually transmitted diseases, including #HIV., doctors say. Demand for #abortio\xe2\x80\xa6'",1.39073E+18,140,07-05-2021 18:20,,,en,Twitter Web App,0,2
52,"b'RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho\xe2\x80\xa6'",1.39073E+18,140,07-05-2021 18:19,,,en,Twitter for Android,0,10365
